type,name,architecture,library
Text Section (Local),-[DBGGDBPTYDeviceByteStream sendStreamDidEnd],X86_64,
Text Section (Local),-[DBGGDBPTYDeviceByteStream slaveDeviceName],X86_64,
Text Section (Local),-[DBGGDBPTYDeviceByteStream stream:processBytes:],X86_64,
Text Section (Local),-[DBGGDBPTYDeviceByteStream streamDidEnd:],X86_64,
Text Section (Local),-[DBGGDBProcess PBXProcess],X86_64,
Text Section (Local),-[DBGGDBProcess displayStatus],X86_64,
Text Section (Local),-[DBGGDBProcess initWithDebugSession:PBXProcess:],X86_64,
Text Section (Local),-[DBGGDBProcess isSendingConsoleCommand],X86_64,
Text Section (Local),-[DBGGDBProcess launcher],X86_64,
Text Section (Local),-[DBGGDBProcess rawMemoryDataForAddressExpression:numberOfBytes:resultHandler:],X86_64,
Text Section (Local),-[DBGGDBProcess readMemoryAtAddress:numberOfBytes:resultHandler:],X86_64,
Text Section (Local),-[DBGGDBProcess setControlState:],X86_64,
Text Section (Local),-[DBGGDBProcess setIsSendingConsoleCommand:],X86_64,
Text Section (Local),-[DBGGDBProcess updateThreads],X86_64,
Text Section (Local),-[DBGGDBSession PBXDebugSession],X86_64,
Text Section (Local),-[DBGGDBSession PBXProcess],X86_64,
Text Section (Local),-[DBGGDBSession PBXThreadForCurrentThread],X86_64,
Text Section (Local),-[DBGGDBSession cleanUp],X86_64,
Text Section (Local),-[DBGGDBSession completeString:resultHandler:],X86_64,
Text Section (Local),-[DBGGDBSession executeDebuggerCommand:threadID:frameID:],X86_64,
Text Section (Local),-[DBGGDBSession initWithDebugLauncher:PBXDebugSession:],X86_64,
Text Section (Local),-[DBGGDBSession launcher],X86_64,
Text Section (Local),-[DBGGDBSession loadDebugSymbolsForSharedLibrary:],X86_64,
Text Section (Local),-[DBGGDBSession logFilename],X86_64,
BSS Section (Local),-[DBGGDBSession logFilename]._logFilename,X86_64,
BSS Section (Local),-[DBGGDBSession logFilename].once,X86_64,
Text Section (Local),-[DBGGDBSession logSuffix],X86_64,
Text Section (Local),-[DBGGDBSession printDescriptionOfDataValueToConsole:runAllThreads:],X86_64,
Text Section (Local),-[DBGGDBSession requestContinue:],X86_64,
Text Section (Local),-[DBGGDBSession requestContinueToLocation:inContext:],X86_64,
Text Section (Local),-[DBGGDBSession requestMovePCInStackFrame:toLineNumber:],X86_64,
Text Section (Local),-[DBGGDBSession requestPause:],X86_64,
Text Section (Local),-[DBGGDBSession requestStepIn:],X86_64,
Text Section (Local),-[DBGGDBSession requestStepInSuspendOtherThreads:],X86_64,
Text Section (Local),-[DBGGDBSession requestStepIntoCallSymbol:atLocation:inContext:],X86_64,
Text Section (Local),-[DBGGDBSession requestStepIntoInstruction:],X86_64,
Text Section (Local),-[DBGGDBSession requestStepOut:],X86_64,
Text Section (Local),-[DBGGDBSession requestStepOverInstruction:],X86_64,
Text Section (Local),-[DBGGDBSession requestStepOverLine:],X86_64,
Text Section (Local),-[DBGGDBSession requestStepOverSuspendOtherThreads:],X86_64,
Text Section (Local),-[DBGGDBSession requestStop:],X86_64,
Text Section (Local),-[DBGGDBSession shouldAcceptFromDebugSession:error:],X86_64,
Text Section (Local),-[DBGGDBSession shouldRelinquishToDebugSession:error:],X86_64,
Text Section (Local),-[DBGGDBSession supportedDataValueFormatsForDataValue:],X86_64,
Text Section (Local),-[DBGGDBSession supportsPCAnnotationDragging],X86_64,
Text Section (Local),-[DBGGDBStackFrame PBXStackFrame],X86_64,
Text Section (Local),-[DBGGDBStackFrame _requestDataValueForExpression:atLocation:orBlockStartAddress:onQueue:withResultBlock:],X86_64,
Text Section (Local),-[DBGGDBStackFrame _requestStackBasedContainerNamed:completionBlock:],X86_64,
Text Section (Local),-[DBGGDBStackFrame _watchChangeObject:keyPath:withChangeBlock:],X86_64,
Text Section (Local),-[DBGGDBStackFrame _wrapPBXLSDataValues:],X86_64,
Text Section (Local),-[DBGGDBStackFrame arguments],X86_64,
Text Section (Local),-[DBGGDBStackFrame fileStatics],X86_64,
Text Section (Local),-[DBGGDBStackFrame initWithParentThread:frameNumber:framePointer:name:],X86_64,
Text Section (Local),-[DBGGDBStackFrame isEqual:],X86_64,
Text Section (Local),-[DBGGDBStackFrame lineNumber],X86_64,
Text Section (Local),-[DBGGDBStackFrame locals],X86_64,
Text Section (Local),-[DBGGDBStackFrame registers],X86_64,
Text Section (Local),-[DBGGDBStackFrame requestDataValueForExpression:atBlockStartAddress:onQueue:withResultBlock:],X86_64,
Text Section (Local),-[DBGGDBStackFrame requestDataValueForSymbol:symbolKind:atLocation:onQueue:withResultBlock:],X86_64,
Text Section (Local),-[DBGGDBStackFrame resetDataValues],X86_64,
Text Section (Local),-[DBGGDBStackFrame setArguments:],X86_64,
Text Section (Local),-[DBGGDBStackFrame setFileStatics:],X86_64,
Text Section (Local),-[DBGGDBStackFrame setLocals:],X86_64,
